targets,inputs,length
no, Q: A coin is heads up. Rewert flips the coin.  Rouguiatou does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Jaywana flips the coin.  Opportina does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Milamarie flips the coin.  Antwayne does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Raiford does not flip the coin.  Daymen flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Llona flips the coin.  Birty flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Qëndresa flips the coin.  Danson flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Jon-luc does not flip the coin.  Ziver flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Kylisha flips the coin.  Aelia does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Vergilia does not flip the coin.  Pijus does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Aldobrando does not flip the coin.  Boose flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Justiss does not flip the coin.  Etelvina flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Shumway flips the coin.  Shigeto flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Dahiana flips the coin.  Jamesetta flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Centrella flips the coin.  Lurah does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Eisaman does not flip the coin.  Perales does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Jaxzen flips the coin.  Abisha does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Margart does not flip the coin.  Elliyah does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Makenzii does not flip the coin.  Naazir flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Palcu does not flip the coin.  Pendergast flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Siegrun flips the coin.  Fellgren does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Cassandrea does not flip the coin.  Matts does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Aduragbemi flips the coin.  Nahiyan flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Wandalene does not flip the coin.  Janeah does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Dewhurst flips the coin.  Sherma does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Nacari does not flip the coin.  Urena does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Medena flips the coin.  Antanea flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Maram does not flip the coin.  Ergica flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Hernandez-chaparro flips the coin.  Khanyisile does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Armas-ulloa does not flip the coin.  Nishanth does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Annebeth does not flip the coin.  Alimat flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Anaija flips the coin.  Latellis flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Kasai flips the coin.  Ivaline flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Samanthan does not flip the coin.  Oliviafaith flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Finlea flips the coin.  Jesusalberto does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Baylynn does not flip the coin.  Olevia flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Dack flips the coin.  Albertje flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Samatar does not flip the coin.  Ermajean does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Ladara does not flip the coin.  Sheily flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Pando does not flip the coin.  Skye does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Soini flips the coin.  Almetra flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Juwairyah flips the coin.  Lucea does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Preister flips the coin.  Masah flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Goldarina flips the coin.  Cochenour does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Mijah does not flip the coin.  Ahyan does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Tarannum does not flip the coin.  Travail does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Nakeyah flips the coin.  Reakwon does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Johniqua does not flip the coin.  Paelyn does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Fradel flips the coin.  Christain flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Naturi does not flip the coin.  Engelhart flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Albretsen does not flip the coin.  Aleise flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Muhammad-rayyan flips the coin.  Angelyne flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Llifon does not flip the coin.  Anstadt flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Alcia flips the coin.  Dumal flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Pahal does not flip the coin.  Emmerie flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Damyra flips the coin.  Nicketa flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Phyllicia flips the coin.  Christiaan does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Tanel flips the coin.  Treyvond does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Liggons does not flip the coin.  Reimer flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Janaeh flips the coin.  Erby does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Levity does not flip the coin.  Scheer does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Fáfnir flips the coin.  Hakes does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Ditha does not flip the coin.  Brackett does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Berajeta does not flip the coin.  Jamer flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Pragiya flips the coin.  Garmer does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Rabih does not flip the coin.  Oberia does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Viktoría does not flip the coin.  Gorges flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Thuyvi does not flip the coin.  Ivanka flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Perrion flips the coin.  Coreon flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Perryman flips the coin.  Yar flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Zaymir flips the coin.  Mahlia does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Maydeen does not flip the coin.  Lihanna does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Costin does not flip the coin.  Muamar does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Minja flips the coin.  Andrejs does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Talilah does not flip the coin.  Loos does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Shizuka flips the coin.  Senetria flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Brytnee flips the coin.  Laurabeth flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Boriana flips the coin.  Nkenge does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Laetitia flips the coin.  Anessah flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Watters flips the coin.  Taley does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Ayela flips the coin.  Oguz flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Grath flips the coin.  Shymeka flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Agris flips the coin.  Miah-patricia does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Thuraya flips the coin.  Nero flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Jhayce does not flip the coin.  Assal flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Torkil flips the coin.  Naailah flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Dimario flips the coin.  Holguin flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Wesam does not flip the coin.  Mehruddin does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Bellange does not flip the coin.  Konvalinka does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Dorus flips the coin.  Emellie does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Rikako does not flip the coin.  Damira does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Vilmo flips the coin.  Coram flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Petutsky does not flip the coin.  Roziya flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Luhey does not flip the coin.  Alixandra flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Leallen flips the coin.  Onnilde flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Myrthe flips the coin.  Dickins does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Sanah flips the coin.  Dailynne flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Emryn does not flip the coin.  Stynke flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Moreno-perez does not flip the coin.  Guerina flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Dresdyn flips the coin.  Dhanwati flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Skyanne does not flip the coin.  Savanh flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Ahmik does not flip the coin.  Kanatbek does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Renfroe flips the coin.  Farooq does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Amaiya flips the coin.  Chailyn does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Bowyn does not flip the coin.  Shemaiah flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Josiel flips the coin.  Eloyse does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Frutoso flips the coin.  Traedyn flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Angeliya does not flip the coin.  Gumm does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Heiðbrá flips the coin.  Blak does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Trojan flips the coin.  Kamillah does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Artavion does not flip the coin.  Manat flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Ujala does not flip the coin.  Galoppa flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Ciel does not flip the coin.  Dykes does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Yanelle flips the coin.  Vamsi flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Ximenes does not flip the coin.  Cyenthia flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Shindana flips the coin.  Tamasin flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Liuba does not flip the coin.  Keymar does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Teronica does not flip the coin.  Cyna flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Roanan flips the coin.  Emmarae does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Lavonte flips the coin.  Serrina flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Nataniah does not flip the coin.  Karelia does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Dikkie does not flip the coin.  Olius does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Mufarowashe flips the coin.  Crystina does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Jaymz flips the coin.  Carothers does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Byrum flips the coin.  Elisária does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Youichirou flips the coin.  Shondell flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Leiani does not flip the coin.  Truda does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Stazie does not flip the coin.  Bredan does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Nanett flips the coin.  Mohnish flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Alixe flips the coin.  Jerralee flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Peardon flips the coin.  Tillman does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Keller does not flip the coin.  Efosa flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Yılmaz flips the coin.  Jaice flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Gwyne flips the coin.  Highman does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Everyn does not flip the coin.  Yand flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Takyla flips the coin.  Sarmeela does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Eudoxie does not flip the coin.  Redell does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Glasper flips the coin.  Amaziyah does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Deztiny flips the coin.  Loram does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Nikyra does not flip the coin.  Astraea flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Matanah does not flip the coin.  Demetrics does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Machair does not flip the coin.  Kemeny flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Dinetta does not flip the coin.  Lilaki flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Azyrah flips the coin.  Caban does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Cordelle flips the coin.  Deta does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Zeyad does not flip the coin.  Carlyon flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Ryshon does not flip the coin.  Emro does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Athenia flips the coin.  Vahagn does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Heleno flips the coin.  Danyella does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Shynise does not flip the coin.  Abryana does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Abderahmane flips the coin.  Sandrina flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Lacher does not flip the coin.  Arpad does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Elicia does not flip the coin.  Esperia flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Leriah flips the coin.  Diarmit does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Aldren does not flip the coin.  Khrystopher flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Bahiyyah flips the coin.  Meeks flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Carice flips the coin.  Alisija flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Mccomas does not flip the coin.  Maddoxx flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Darnasia flips the coin.  Emryk flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Astella does not flip the coin.  Julie flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Liborius flips the coin.  Naiara flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Jamaari does not flip the coin.  Koltynn flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Monsserrat flips the coin.  Caravette flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Vishesh does not flip the coin.  Destan flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Rayshone does not flip the coin.  Rajwanti flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Yorvin does not flip the coin.  Latae does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Delone flips the coin.  Zynaria flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Arryn flips the coin.  Jetske flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Alizay flips the coin.  Hawkin does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Sandy flips the coin.  Javad flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Jaiden flips the coin.  Hailye flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Beni flips the coin.  Zakeia flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Syan flips the coin.  Svilen flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Emiliyan flips the coin.  Hinkle flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Doğucan does not flip the coin.  Nijamudeen flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Ashrit flips the coin.  Raymart does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Ezra does not flip the coin.  Hermis flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Delyn does not flip the coin.  Gandolfa flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Denzell does not flip the coin.  Sanderhoff does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Neea flips the coin.  Fort-martinez does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Angeliqu does not flip the coin.  Berklin does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Hartnett flips the coin.  Krystal-rose does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Lheureux flips the coin.  Ramzy flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Risher does not flip the coin.  Concepsion does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Miah-patricia does not flip the coin.  Sanjna flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Aristedes flips the coin.  Hidar does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Mercè flips the coin.  Greigh flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Reshea does not flip the coin.  Chiyono does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Akaalbir flips the coin.  Darrean flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Tyleek does not flip the coin.  Chay flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Fiorella flips the coin.  Giano does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Kashaan does not flip the coin.  Adgar does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Brany does not flip the coin.  Ayjai does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Malindia does not flip the coin.  Malaney flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Maiu flips the coin.  Santina flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Traeton does not flip the coin.  Akon flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Finli flips the coin.  Haedyn does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. İsmail does not flip the coin.  Loranzo does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Sybrina flips the coin.  Titeanna flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Cutino flips the coin.  Ambrose does not flip the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Chyana does not flip the coin.  Auzair flips the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Sari flips the coin.  Ariz flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Madalen flips the coin.  Kuldar does not flip the coin.  Is the coin still heads up? ,2
yes, Q: A coin is heads up. Eliset flips the coin.  Deisel flips the coin.  Is the coin still heads up? ,2
no, Q: A coin is heads up. Zeman does not flip the coin.  Brayten flips the coin.  Is the coin still heads up? ,2
